"","PREC_ID","demVotes","repVotes","libVotes","repShare","precincctFull"
"1","P10",103,131,4,0.550420168067227,"P10_ABBOTTS"
"2","P15",224,532,14,0.690909090909091,"P15_BETHEL"
"3","P201",104,347,9,0.754347826086956,"P201_BLADENBORO #1"
"4","P202",210,345,9,0.611702127659574,"P202_BLADENBORO #2"
"5","P25",108,104,3,0.483720930232558,"P25_BROWN MARSH"
"6","P35",89,68,0,0.43312101910828,"P35_CENTRAL"
"7","P40",98,229,5,0.689759036144578,"P40_COLLY"
"8","P45",60,120,2,0.659340659340659,"P45_CYPRESS CREEK"
"9","P501",226,172,6,0.425742574257426,"P501_ELIZABETHTOWN #1"
"10","P60",289,214,7,0.419607843137255,"P60_HOLLOW"
"11","P70",68,70,2,0.5,"P70_TURNBULL"
"12","P80",108,187,9,0.615131578947368,"P80_WHITE OAK"
